"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"452-451","21133","Świeradowska","","51.076845","17.047999","","","0","","","0","",""
"452-454","21172","Orzechowa","","51.083344","17.039467","","","0","","","0","",""
"452-464","25302","Wiaduktowa","","51.075213","17.076403","","","0","","","0","",""
"452-480","21105","Śliczna","","51.085086","17.034984","","","0","","","0","",""
"452-486","21103","Borowska (Aquapark)","","51.08931","17.033896","","","0","","","0","",""
"452-494","10373","pl. Legionów","","51.103714","17.02271","","","0","","","0","",""
"452-499","10376","Piłsudskiego","","51.102038","17.025302","","","0","","","0","",""
"452-506","11302","Rondo","","51.091149","17.01788","","","0","","","0","",""
"452-532","25503","Międzyrzecka","","51.094362","17.08236","","","0","","","0","",""
"452-535","25507","Nowy Dom","","51.093354","17.10726","","","0","","","0","",""
"452-549","20302","Poczta Główna","","51.107856","17.045637","","","0","","","0","",""
"452-551","24502","Hala Stulecia","","51.107428","17.072674","","","0","","","0","",""
"452-553","24504","Tramwajowa","","51.104291","17.083877","","","0","","","0","",""
"452-564","24517","Bacciarellego","","51.105636","17.110491","","","0","","","0","",""
"452-580","24724","Miłoszycka","","51.116209","17.127718","","","0","","","0","",""
"452-596","24725","Ceglana","","51.121141","17.12104","","","0","","","0","",""
"452-602","24114","Kwidzyńska","","51.131585","17.077954","","","0","","","0","",""
"452-603","24132","Kwidzyńska","","51.130585","17.078338","","","0","","","0","",""
"452-613","24112","Kromera","","51.132378","17.063011","","","0","","","0","",""
"452-614","20724","Mosty Warszawskie","","51.128001","17.054858","","","0","","","0","",""
"452-632","23722","Redycka","","51.148684","17.07557","","","0","","","0","",""
"452-634","23720","Poprzeczna","","51.145781","17.072963","","","0","","","0","",""
"452-640","20718","Trzebnicka","","51.127917","17.036343","","","0","","","0","",""
"452-643","23172","Bałtycka","","51.13718","17.02945","","","0","","","0","",""
"452-644","23143","Bałtycka","","51.138282","17.029374","","","0","","","0","",""
"452-274","17307","Krzemieniecka","","51.096378","16.95695","","","0","","","0","",""
"452-277","17310","Końcowa","","51.095981","16.962151","","","0","","","0","",""
"452-279","11713","Ostrowskiego","","51.095295","16.972879","","","0","","","0","",""
"452-300","11721","Inżynierska","","51.094769","16.991184","","","0","","","0","",""
"452-302","11513","Grochowa","","51.096218","17.005809","","","0","","","0","",""
"452-308","11521","Krucza","","51.093589","17.009933","","","0","","","0","",""
"452-310","11535","Krucza","","51.09413","17.009539","","","0","","","0","",""
"452-315","11542","Zaporoska","","51.097899","17.01466","","","0","","","0","",""
"452-317","11335","Pl. Hirszfelda","","51.09449","17.016335","","","0","","","0","",""
"452-326","11305","Orla","","51.080025","17.007769","","","0","","","0","",""
"452-335","16522","Wyścigowa","","51.070604","17.011365","","","0","","","0","",""
"452-338","16525","Hippiczna","","51.068479","17.008949","","","0","","","0","",""
"452-351","26312","Kurpiów","","51.054882","17.026611","","","0","","","0","",""
"452-355","26343","Kutrzeby","","51.051833","17.018829","","","0","","","0","",""
"452-376","16716","Kwiatkowskiego","","51.058675","16.956349","","","0","","","0","",""
"452-380","16701","Kościelna","","51.063697","16.981382","","","0","","","0","",""
"452-387","16504","Os. Przyjaźni","","51.069573","16.997364","","","0","","","0","",""
"452-390","16516","Chłodna","","51.074986","16.996831","","","0","","","0","",""
"452-392","16513","Sowia","","51.073793","17.001845","","","0","","","0","",""
"452-404","17101","Solskiego","","51.081201","16.967704","","","0","","","0","",""
"452-423","25116","Zagłębiowska","","51.07402","17.088013","","","0","","","0","",""
"452-432","25141","Księska","","51.076394","17.090198","","","0","","","0","",""
"452-450","21134","Świeradowska","","51.077047","17.046238","","","0","","","0","",""
"452-459","21144","Kamienna","","51.08594","17.046503","","","0","","","0","",""
"452-465","25301","Wiaduktowa","","51.075453","17.076093","","","0","","","0","",""
"452-487","21104","Borowska (Aquapark)","","51.089296","17.034141","","","0","","","0","",""
"452-493","110274","pl. Orląt Lwowskich","","51.107299","17.021443","","","0","","","0","",""
"452-498","10375","Piłsudskiego","","51.101822","17.02476","","","0","","","0","",""
"452-508","11321","Dworzec Autobusowy","","51.097268","17.032284","","","0","","","0","",""
"452-509","21102","Dworzec Autobusowy","","51.096575","17.03298","","","0","","","0","",""
"452-515","120213","Świstackiego","","51.099005","17.050134","","","0","","","0","",""
"452-522","10335","Renoma","","51.104127","17.032318","","","0","","","0","",""
"452-530","25509","Opatowicka nr 85","","51.095155","17.123028","","","0","","","0","",""
"452-533","25504","Międzyrzecka","","51.094954","17.080739","","","0","","","0","",""
"452-543","10103","Rynek","","51.111132","17.027123","","","0","","","0","",""
"452-546","10111","Galeria Dominikańska","","51.107402","17.039753","","","0","","","0","",""
"452-552","24312","Park Szczytnicki","","51.111402","17.08217","","","0","","","0","",""
"452-301","111403","Stalowa","","51.09948","17.00046","","","0","","","0","",""
"452-304","10386","Grabiszyńska","","51.101238","17.01375","","","0","","","0","",""
"452-305","10385","Grabiszyńska","","51.101595","17.013184","","","0","","","0","",""
"452-306","11536","Krucza","","51.092156","17.008485","","","0","","","0","",""
"452-313","11532","Zaporoska","","51.096961","17.015645","","","0","","","0","",""
"452-316","11336","Pl. Hirszfelda","","51.093821","17.017959","","","0","","","0","",""
"452-318","11346","Rondo","","51.091668","17.015808","","","0","","","0","",""
"452-319","11345","Rondo","","51.091677","17.01624","","","0","","","0","",""
"452-322","11342","Uniwersytet Ekonomiczny","","51.089536","17.027279","","","0","","","0","",""
"452-330","11357","Skierniewicka","","51.07765","17.014465","","","0","","","0","",""
"452-331","11358","Skierniewicka","","51.078153","17.014921","","","0","","","0","",""
"452-332","11356","Jarzębinowa","","51.081297","17.016566","","","0","","","0","",""
"452-333","11355","Jarzębinowa","","51.081922","17.016711","","","0","","","0","",""
"452-334","16521","Wyścigowa","","51.069706","17.01205","","","0","","","0","",""
"452-345","26316","Strachowskiego","","51.058238","17.015652","","","0","","","0","",""
"452-349","26314","Ołtaszyn","","51.056502","17.024961","","","0","","","0","",""
"452-350","26313","Ołtaszyn","","51.056787","17.02379","","","0","","","0","",""
"452-357","26304","Wojszyce","","51.065832","17.032399","","","0","","","0","",""
"452-375","82024005","Kwiatkowskiego","","51.05864","16.954639","","","0","","","0","",""
"452-381","16702","Kościelna","","51.063882","16.983899","","","0","","","0","",""
"452-384","16502","Zimowa","","51.071329","17.000009","","","0","","","0","",""
"452-385","16501","Zimowa","","51.072023","17.000813","","","0","","","0","",""
"452-391","16515","Chłodna","","51.075122","16.996671","","","0","","","0","",""
"452-393","16514","Sowia","","51.073749","17.00162","","","0","","","0","",""
"452-402","17114","Adamieckiego","","51.074259","16.962995","","","0","","","0","",""
"452-403","17103","Wiejska","","51.078175","16.964108","","","0","","","0","",""
"452-424","25132","Brochowska","","51.069012","17.094804","","","0","","","0","",""
"452-441","21156","Gazowa","","51.078283","17.068852","","","0","","","0","",""
"452-442","21155","Gazowa","","51.078152","17.070411","","","0","","","0","",""
"452-453","121024","Krynicka","","51.079685","17.050671","","","0","","","0","",""
"452-458","121012","Kamienna","","51.086183","17.046882","","","0","","","0","",""
"452-481","21106","Śliczna","","51.085705","17.035382","","","0","","","0","",""
"452-501","11332","Epi","","51.097647","17.029018","","","0","","","0","",""
"452-516","20324","Świstackiego","","51.099559","17.050898","","","0","","","0","",""
"452-518","120215","Na Niskich Łąkach","","51.097056","17.055449","","","0","","","0","",""
"452-519","20326","Na Niskich Łąkach","","51.097281","17.055489","","","0","","","0","",""
"452-524","25102","Krakowska","","51.092774","17.06112","","","0","","","0","",""
"452-525","25101","Krakowska","","51.092574","17.060946","","","0","","","0","",""
"452-624","23701","Berenta","","51.134971","17.057773","","","0","","","0","",""
"452-625","23702","Berenta","","51.135503","17.056469","","","0","","","0","",""
"452-626","23134","Pola","","51.136717","17.043175","","","0","","","0","",""
"452-627","23133","Pola","","51.136749","17.044698","","","0","","","0","",""
"452-628","23731","Berenta","","51.135511","17.057586","","","0","","","0","",""
"452-629","23732","Berenta","","51.13578","17.057587","","","0","","","0","",""
"452-633","23721","Redycka","","51.149167","17.075215","","","0","","","0","",""
"452-636","23122","Broniewskiego","","51.135099","17.036498","","","0","","","0","",""
"452-637","23141","Broniewskiego","","51.135904","17.035327","","","0","","","0","",""
"452-638","23121","Broniewskiego","","51.136343","17.036687","","","0","","","0","",""
"452-657","10712","Dubois","","51.11641","17.033296","","","0","","","0","",""
"452-659","23307","Las Osobowicki","","51.147816","16.984213","","","0","","","0","",""
"452-660","23308","Las Osobowicki","","51.147974","16.983831","","","0","","","0","",""
"452-661","23306","Lipska","","51.144328","16.987126","","","0","","","0","",""
